Freq,TS
650000.0,-79.3567667930734
650500.0,-79.81543599710282
651000.0,-78.10242691305157
651500.0,-76.02004095617743
652000.0,-74.44121065647386
652500.0,-73.48424640381477
653000.0,-73.12927044276358
653500.0,-73.35499412267602
654000.0,-74.17051052260992
654500.0,-75.60389197967456
655000.0,-77.60237041738418
655500.0,-79.51753001769936
656000.0,-79.62943155284957
656500.0,-77.8203312924636
657000.0,-75.80935579566474
657500.0,-74.34412449445149
658000.0,-73.48772100319367
658500.0,-73.22153680295354
659000.0,-73.51395623587435
659500.0,-74.37644420261816
660000.0,-75.81319950931876
660500.0,-77.69845687029212
661000.0,-79.3111868467744
661500.0,-79.22768336643207
662000.0,-77.57957273053438
662500.0,-75.78819386823099
663000.0,-74.45517221954601
663500.0,-73.68557449826046
664000.0,-73.45147910217217
664500.0,-73.73144307300396
665000.0,-74.52223963780267
665500.0,-75.79898703588623
666000.0,-77.41658057975619
666500.0,-78.79314722741742
667000.0,-78.89683474277805
667500.0,-77.64559981647372
668000.0,-76.08161102061332
668500.0,-74.81108192224832
669000.0,-74.00232316502327
669500.0,-73.66386601997675
