Freq,TS
38000.0,-36.02128229139047
39000.0,-36.15787493769938
40000.0,-35.93802081238006
41000.0,-36.20244238067507
42000.0,-36.40312626040338
43000.0,-36.5485770561227
44000.0,-36.25028680929296
45000.0,-36.11459210126236
46000.0,-36.277502521886134
47000.0,-36.43706833684853
48000.0,-36.237118577631435
49000.0,-36.18700515124596
50000.0,-36.241751514936766
51000.0,-36.41942756789311
52000.0,-36.16201600075827
53000.0,-36.15019484874314
54000.0,-36.20127966502826
55000.0,-36.09540681760415
56000.0,-36.215251060237314
57000.0,-36.186691844771424
58000.0,-36.17300567532479
59000.0,-36.10903999066568
60000.0,-36.234132627234665
61000.0,-36.18614566259915
62000.0,-36.20877355384164
63000.0,-35.98279192800841
64000.0,-36.300481740833426
65000.0,-36.33881471855546
66000.0,-36.22581739138198
67000.0,-36.22695902959249
68000.0,-36.25742534733545
69000.0,-36.308505286118276
70000.0,-37.15084439881346
71000.0,-36.2732757597567
72000.0,-36.2875098777907
73000.0,-36.5534636736731
74000.0,-36.16133306883702
75000.0,-36.317109028403294
76000.0,-36.32124586162253
77000.0,-36.28868843680142
78000.0,-36.239692656111814
79000.0,-36.34168223462301
80000.0,-36.25656317034505
81000.0,-36.34615072504366
82000.0,-36.295649026664414
83000.0,-36.527813943283675
84000.0,-36.48039704853104
85000.0,-36.38054427573443
86000.0,-36.24066332372563
87000.0,-36.51268051598551
88000.0,-36.89931779973122
89000.0,-36.21464528144797
90000.0,-36.0127296618576
91000.0,-36.40196839262114
92000.0,-36.21321408985914
93000.0,-36.83167773548378
94000.0,-36.54963249700789
95000.0,-36.33111035351272
96000.0,-36.297310477721524
97000.0,-36.376069224102416
98000.0,-34.932066581510995
99000.0,-36.42317264860568
100000.0,-36.007821240464494
101000.0,-36.13061535225978
102000.0,-36.4044138617118
103000.0,-36.918657921054
104000.0,-36.42002093281363
105000.0,-36.51026755775336
106000.0,-36.33436945151849
107000.0,-36.27084873765029
108000.0,-39.14409718771823
109000.0,-36.47765546613264
110000.0,-34.66262343188296
111000.0,-36.18505151190224
112000.0,-36.419036122153926
113000.0,-36.51564754178948
114000.0,-36.40634097947665
115000.0,-36.2570612517804
116000.0,-36.52996639003551
117000.0,-35.27037700451189
118000.0,-36.304307403980445
119000.0,-36.14610934656533
120000.0,-36.335352762513
