Freq_kHz,TS
50.0,-62.150341159116536
52.0,-54.1194698170911
54.0,-50.54477016853437
56.0,-48.678767378519
58.0,-47.913018099129644
60.0,-48.060344002683976
62.0,-49.152071427788975
64.0,-51.53550535647014
66.0,-56.25984656300575
68.0,-70.36425130044313
70.0,-59.456497737716745
72.0,-52.96988074636391
74.0,-49.8915165654391
76.0,-48.3509950186447
78.0,-47.85913087986863
